codigo_p,texto_es,codigos_h_aplicables
P101,Si se necesita consejo medico tener a mano el envase o la etiqueta,
P102,Mantener fuera del alcance de los ninos,
P103,Leer la etiqueta antes del uso,
P201,Solicitar instrucciones especiales antes del uso,"H340,H350,H360"
P202,No manipular la sustancia antes de haber leido y comprendido todas las instrucciones de seguridad,"H340,H350,H360"
P210,Mantener alejado de fuentes de calor chispas llama abierta superficies calientes. No fumar,"H220,H224,H225,H226,H228,H240,H241,H242,H270,H271,H272"
P211,No pulverizar sobre una llama abierta u otra fuente de ignicion,"H222,H223"
P220,Mantener alejado de la ropa y otros materiales combustibles,"H270,H271,H272"
P222,No dejar que entre en contacto con el aire,"H250"
P223,Mantener alejado de cualquier posible contacto con el agua,"H260,H261"
P230,Mantener humedecido con...,"H228"
P231,Manipular en gas inerte,"H250"
P232,Proteger de la humedad,"H260,H261"
P233,Mantener el recipiente hermeticamente cerrado,"H224,H225,H226,H228,H260,H261,H335,H336"
P234,Conservar unicamente en el recipiente original,"H290"
P235,Mantener en lugar fresco,"H228,H251,H252"
P240,Conectar a tierra/enlace equipotencial del recipiente y del equipo de recepcion,"H224,H225,H226,H228"
P241,Utilizar un material electrico resistente a explosiones,"H224,H225,H226"
P242,Utilizar unicamente herramientas que no produzcan chispas,"H224,H225,H226"
P243,Tomar medidas de precaucion contra descargas electrostaticas,"H224,H225,H226"
P260,No respirar el polvo los humos el gas la niebla los vapores el aerosol,"H300,H301,H302,H304,H310,H311,H312,H314,H330,H331,H332,H334,H335,H336"
P261,Evitar respirar el polvo los humos el gas la niebla los vapores el aerosol,"H315,H317,H319,H332,H335,H336"
P262,Evitar el contacto con los ojos la piel o la ropa,
P263,Evitar el contacto durante el embarazo y la lactancia,"H360,H361,H362"
P264,Lavarse concienzudamente tras la manipulacion,"H302,H312,H315,H319,H332,H335"
P270,No comer no beber ni fumar durante su utilizacion,"H300,H301,H302,H304,H330,H331,H332"
P271,Utilizar unicamente en exteriores o en un lugar bien ventilado,"H330,H331,H332,H335,H336"
P272,Las prendas de trabajo contaminadas no podran sacarse del lugar de trabajo,"H317"
P273,Evitar su liberacion al medio ambiente,"H400,H410,H411,H412,H413,H420"
P280,Llevar guantes de proteccion gafas de proteccion mascara de proteccion,"H224,H225,H226,H228,H271,H272,H280,H281,H290,H300,H301,H310,H311,H314,H318,H330,H331,H334,H340,H350,H360"
P281,Utilizar el equipo de proteccion individual obligatorio,"H334,H340,H350,H360"
P282,Llevar guantes que aislen del frio mascara de proteccion mascara con filtro,"H281"
P283,Llevar prendas ignifugas o resistentes al fuego,"H228"
P301,EN CASO DE INGESTION,
P302,EN CASO DE CONTACTO CON LA PIEL,
P303,EN CASO DE CONTACTO CON LA PIEL (o el pelo),
P304,EN CASO DE INHALACION,
P305,EN CASO DE CONTACTO CON LOS OJOS,
P306,EN CASO DE CONTACTO CON LA ROPA,
P308,EN CASO DE exposicion manifiesta o presunta,
P310,Llamar inmediatamente a un CENTRO DE INFORMACION TOXICOLOGICA o a un medico,"H300,H301,H310,H311,H314,H318,H330,H331"
P311,Llamar a un CENTRO DE INFORMACION TOXICOLOGICA o a un medico,"H301,H302,H311,H312,H331,H332"
P312,Llamar a un CENTRO DE INFORMACION TOXICOLOGICA o a un medico en caso de malestar,"H302,H312,H332"
P313,Consultar a un medico,"H315,H319,H335,H336"
P314,Consultar a un medico en caso de malestar,
P315,Consultar a un medico inmediatamente,"H334,H340,H350,H360,H370"
P320,Se necesita urgentemente un tratamiento especifico,"H300,H310,H330"
P321,Se necesita un tratamiento especifico,"H301,H302,H311,H312"
P330,Enjuagarse la boca,"H300,H301,H302,H304"
P331,NO provocar el vomito,"H300,H301,H304,H314"
P332,En caso de irritacion cutanea,"H315,H317"
P333,En caso de irritacion o erupcion cutanea,"H317"
P334,Sumergir en agua fresca o envolver en vendas humedas,"H314"
P335,Sacudir las particulas que se hayan depositado en la piel,"H228"
P336,Descongelar las partes heladas con agua tibia,"H281"
P337,Si persiste la irritacion ocular,"H319"
P338,Quitar las lentes de contacto si lleva y resulta facil. Seguir aclarando,"H305,H318,H319"
P340,Transportar a la victima al exterior y mantenerla en reposo en una posicion comoda para respirar,"H304,H330,H331,H332,H334,H335,H336"
P341,Si respira con dificultad transportar a la victima al exterior,"H332,H334"
P342,En caso de sintomas respiratorios,"H334"
P350,Lavar suavemente con agua y jabon abundantes,"H314,H315"
P351,Aclarar cuidadosamente con agua durante varios minutos,"H318,H319"
